JOB_TITLE,JOB_CODE
ACCOUNT CLERK,1630
ACCOUNTANT II,1652
ACCOUNTANT I,1650
ACCOUNTANT II (OCII),O775
ACCOUNTANT III,1654
ACCOUNTANT III (OCII),O695
ACCOUNTANT INTERN,1649
ACCOUNTANT IV,1657
ACCOUNTING SUPERVISOR (OCII),O970
ACUPUNCTURIST,2565
"ADDRESS FRAUD INVESTIGATOR,SFUSD",2963
ADMINISTRATIVE ANALYST,1822
ADMINISTRATIVE ENGINEER,5174
ADMINISTRATIVE HEARING EXAMINER,8167
ADMINISTRATIVE HEARING SUPERVISOR,8168
ADMINISTRATIVE SERVICES MANAGER,1827
"ADMINISTRATOR, DEPARTMENT OF PUBLIC HEALTH",1166
"ADMINISTRATOR, SFGH MEDICAL CENTER",1164
ADMISSIONS ATTENDANT,3302
AGRICULTURAL INSPECTOR,3450
"AIRPORT ASSISTANT DEPUTY DIRECTOR, BUSINESS AND FINANCE",9258
AIRPORT COMMUNICATIONS DISPATCHER,9202
AIRPORT COMMUNICATIONS OFFICER,9254
AIRPORT COMMUNICATIONS SUPERVISOR,9204
AIRPORT CUSTODIAL SERVICES SUPERVISOR,9230
AIRPORT ECONOMIC PLANNER,9255
AIRPORT ELECTRICIAN,9240
AIRPORT ELECTRICIAN SUPERVISOR,9241
AIRPORT EMERGENCY PLANNING COORDINATOR,9247
AIRPORT GROUND TRANSPORTATION TECHNICIAN,9236
AIRPORT MECHANICAL MAINTENANCE SUPERVISOR,9232
AIRPORT NOISE ABATEMENT SPECIALIST,5264
AIRPORT OPERATIONS SUPERVISOR,9220
AIRPORT PROPERTY SPECIALIST I,9206
AIRPORT SAFETY OFFICER,9212
AIRPORT SECURITY ID TECHNICIAN,9234
ALTERNATE MEDIA SPECIALIST,1772
ANALYST TRAINEE,1801
ANESTHETIST,2330
ANIMAL CARE ASSISTANT SUPERVISOR,3376
ANIMAL CARE ATTENDANT,3370
ANIMAL CARE SUPERVISOR,3371
ANIMAL CONTROL OFFICER,3372
ANIMAL CONTROL SUPERVISOR,3373
ANIMAL HEALTH TECHNICIAN,3375
ANIMAL KEEPER,3320
APPRENTICE ARBORIST TECHNICIAN II,3409
APPRENTICE AUTOMOTIVE MACHINIST 1,7320
APPRENTICE AUTOMOTIVE MACHINIST 2,7321
APPRENTICE CEMENT MASON I,7398
APPRENTICE CEMENT MASON II,7399
APPRENTICE GARDENER,3410
APPRENTICE MAINTENANCE MACHINIST I,7327
APPRENTICE MAINTENANCE MACHINIST II,7331
APPRENTICE PILE WORKER I,9328
APPRENTICE PILE WORKER II,9329
APPRENTICE POWER LINE WORKER 1,7354
APPRENTICE POWER LINE WORKER 2,7357
APPRENTICE STATIONARY ENGINEER I,7314
APPRENTICE STATIONARY ENGINEER II,7333
"APPRENTICE STATIONARY ENGINEER, SEWAGE PLANT I",7375
"APPRENTICE STATIONARY ENGINEER, SEWAGE PLANT II",7356
"APPRENTICE STATIONARY ENGINEER, WATER TREATMENT PLANT I",7339
"APPRENTICE STATIONARY ENGINEER, WATER TREATMENT PLANT II",7352
AQUATICS FACILITY ASST SUPV,3213
AQUATICS FACILITY SUPERVISOR,3215
ARBORIST TECHNICIAN,3434
ARBORIST TECHNICIAN I,3408
ARBORIST TECHNICIAN SUPERVISOR I,3436
ARBORIST TECHNICIAN SUPERVISOR II,3438
ARCHITECT,5268
ARCHITECTURAL ADMINISTRATOR,5120
ARCHITECTURAL ASSISTANT I,5260
ARCHITECTURAL ASSISTANT II,5261
ARCHITECTURAL ASSOCIATE I,5265
ARCHITECTURAL ASSOCIATE II,5266
"AREA SUPERVISOR, PARKS, SQUARES AND FACILITIES",3464
ARTS PROGRAM ASSISTANT,3549
ASBESTOS ABATEMENT WORKER II,7218
ASPHALT FINISHER,7404
ASPHALT FINISHER SUPERVISOR I,7220
ASPHALT PLANT SUPERVISOR I,7221
ASPHALT WORKER,7502
ASSESSMENT CLERK,4202
ASSESSOR,4290
ASSESSOR-RECORDER OFFICE ASSISTANT,4213
ASSESSOR-RECORDER OFFICE SPECIALIST,4214
ASSESSOR-RECORDER SENIOR OFFICE SPECIALIST,4215
ASSISTANT CHIEF ATTORNEY I,8181
ASSISTANT CHIEF ATTORNEY II,8183
ASSISTANT CHIEF DISTRICT ATTORNEYS INVESTIGATOR,8149
ASSISTANT CHIEF DISTRICT ATTORNEY'S INVESTIGATOR (SFERS),8554
ASSISTANT CHIEF OF POLICE,395
"ASSISTANT CHIEF PROBATION OFFICER, JUVENILE PROBATION (SFERS)",8582
ASSISTANT CHIEF VICTIM/WITNESS INVESTIGATOR,8135
"ASSISTANT CLERK, BOARD OF SUPERVISORS",1492
ASSISTANT CONSTRUCTION INSPECTOR,6317
ASSISTANT COOK,2650
ASSISTANT COUNSELOR,8316
ASSISTANT COUNSELOR (SFERS),8560
ASSISTANT DEPUTY CHIEF 2,H051
"ASSISTANT DEPUTY DIRECTOR, PORT",9375
ASSISTANT DIRECTOR OF CLINICAL SERVICES I,2246
ASSISTANT DIRECTOR OF CLINICAL SERVICES II,2248
"ASSISTANT DIRECTOR, FOOD AND NUTRITION SERVICES, USD",2637
"ASSISTANT DIRECTOR, JUVENILE HALL",8340
"ASSISTANT DIRECTOR, JUVENILE HALL (SFERS)",8578
"ASSISTANT DIRECTOR, LOG CABIN RANCH",8326
"ASSISTANT DIRECTOR, LOG CABIN RANCH (SFERS)",8574
ASSISTANT ELECTRONIC MAINTENANCE TECHNICIAN,7430
ASSISTANT ENGINEER,5203
ASSISTANT FIRE MARSHAL,H042
ASSISTANT FISCAL OFFICER BOARD OF EDUCATION,1661
ASSISTANT GENERAL SERVICES MANAGER,2785
ASSISTANT HEALTH EDUCATOR,2819
ASSISTANT INDUSTRIAL HYGIENIST,6137
ASSISTANT INSPECTOR,Q035
ASSISTANT LAW LIBRARIAN,170
ASSISTANT MATERIALS COORDINATOR,1942
ASSISTANT MEDICAL EXAMINER,2598
ASSISTANT POWER HOUSE OPERATOR,7408
ASSISTANT PROJECT MANAGER (OCII),O990
ASSISTANT PURCHASER,1950
ASSISTANT RECREATION DIRECTOR,3280
ASSISTANT RECREATION SUPERVISOR,3287
ASSISTANT RETIREMENT ANALYST,1812
ASSISTANT SHERIFF,8315
ASSISTANT SHERIFF (SFERS),8516
ASSISTANT STOREKEEPER,1932
ASSISTANT SUPERINTENDENT RECREATION,3292
ASSOCIATE ENGINEER,5207
"ASSOCIATE MUSEUM CONSERVATOR, ASIAN ART MUSEUM",3518
ASSOCIATE MUSEUM REGISTRAR,3554
"ASSOCIATE REGISTRAR, SAN FRANCISCO JUNIOR COLLEGE DISTRICT",1491
ASST CHF OF DEPT (FIRE DEPT),H050
"ASST. CHIEF PROBATION OFFICER, JUVENILE PROBATION",8413
"ATHLETICS ACTIVITIES DIRECTOR COORDINATOR, SFUSD",9973
ATTORNEY (CIVIL/CRIMINAL),8177
"ATTORNEY, TAX COLLECTOR",8190
AUDIOLOGIST,2540
AUDIOMETRIST,2538
AUDIO-VISUAL EQUIPMENT TECHNICIAN,7302
AUDITOR I,1867
AUDITOR II,1684
AUDITOR III,1686
AUTOMOTIVE BODY AND FENDER WORKER,7306
AUTOMOTIVE BODY AND FENDER WORKER ASSISTANT SUPERVISOR,7322
AUTOMOTIVE BODY AND FENDER WORKER SUPERVISOR I,7264
AUTOMOTIVE MACHINIST,7313
AUTOMOTIVE MACHINIST ASSISTANT SUPERVISOR,7315
AUTOMOTIVE MACHINIST SUPERVISOR I,7254
AUTOMOTIVE MECHANIC,7381
AUTOMOTIVE MECHANIC ASSISTANT SUPERVISOR,7382
AUTOMOTIVE MECHANIC SUPERVISOR I,7249
AUTOMOTIVE SERVICE WORKER,7410
AUTOMOTIVE SERVICE WORKER ASSISTANT SUPERVISOR,7412
AUTOMOTIVE TRANSIT EQUIPMENT SUPERVISOR,7212
AUTOMOTIVE TRANSIT SHOP SUPERVISOR I,7228
AVID TUTOR,1400A
BAKER,2652
BARBER,7303
"BATTALION CHIEF, FIRE SUPPRESSION",H040
BEAUTICIAN,7324
BEHAVIORAL HEALTH CLINICIAN,2930
BEHAVIORAL HEALTH TEAM LEADER,2314
BENEFITS ANALYST,1210
"BENEFITS ANALYST, SFUSD",1212
BENEFITS SUPERVISOR,1814
BENEFITS TECHNICIAN,1209
"BENEFITS TECHNICIAN, SFUSD",1211
BIOLOGIST,2483
BIOLOGIST III,2484
"BOARD SECRETARY, MUNICIPAL TRANSPORTATION AGENCY",9190
"BOARD/COMMISSION MEMBER, GROUP II, M = @ $25.00/MEETING",111
"BOARD/COMMISSION MEMBER, GROUP III, M = @ $50.00/MEETING",112
"BOARD/COMMISSION MEMBER, GROUP V, M = @ $100.00/MONTH",114
"BOARD/COMMISSION MEMBER, GROUP VI, D = @ $100.00/HALF DAY",115
"BOARD/COMMISSION MEMBER, GROUP VII, M = @ $500.00/MONTH",118
BOARD/COMMISSION SECRETARY 3,AC35
BOOK REPAIRER,7416
BOOKBINDER,190
BRAILLIST,1436
BRICKLAYER,7307
BRIDGETENDER,7420
BUILDING AND GROUNDS PATROL OFFICER,8207
BUILDING INSPECTOR,6331
BUILDING PLANS ENGINEER,5214
BUILDINGS AND GROUNDS MAINTENANCE SUPERINTENDENT,7120
BUILDINGS AND GROUNDS MAINTENANCE SUPERVISOR,7203
CABLE MACHINERY SUPERVISOR,7223
CABLE SPLICER,7308
CAMP ASSISTANT,3264
"CAPT,FIRE PREV OR FIRE INVSGTN",H032
CAPTAIN (POLICE DEPARTMENT),Q080
"CAPTAIN, DIVISION OF TRAINING",H039
"CAPTAIN, EMERGENCY MED SVCS",H033
"CAPTAIN, FIRE SUPPRESSION",H030
CAR AND AUTO PAINTER,7309
CARPENTER,7344
CARPENTER SUPERVISOR I,7226
CARPENTER SUPERVISOR II,7272
CASHIER I,4320
CASHIER II,4321
CASHIER III,4322
CEMENT FINISHER SUPERVISOR I,7227
CEMENT FINISHER SUPERVISOR II,7211
CEMENT MASON,7311
CENTRAL PROCESSING AND DISTRIBUTION TECHNICIAN,2390
CHEF/PRODUCTION MANAGER,2656
CHEMIST,2486
CHEMIST III,2487
"CHIEF ADMINISTRATIVE SERVICES, SFUSD",9986
CHIEF ADULT PROBATION OFFICER,8436
CHIEF ADULT PROBATION OFFICER (SFERS),8590
CHIEF ATTORNEY I (CIVIL & CRIMINAL),8193
CHIEF BUILDING INSPECTOR,6334
CHIEF CLERK,1410
CHIEF DEPUTY ADULT PROBATION OFFICER,8438
CHIEF DEPUTY ADULT PROBATION OFFICER (SFERS),8592
CHIEF DEPUTY SHERIFF,8314
CHIEF DEPUTY SHERIFF (SFERS),8514
CHIEF DIETITIAN,2626
CHIEF DISTRICT ATTORNEY INVESTIGATOR (SFERS),8556
CHIEF DISTRICT ATTORNEYS INVESTIGATOR,8148
CHIEF ELECTRICAL INSPECTOR,6250
"CHIEF FINANCIAL OFFICER, SFUSD",9993
CHIEF FIRE ALARM DISPATCHER,8236
CHIEF FORENSIC TOXICOLOGIST,2458
"CHIEF GENERAL COUNSEL, SFUSD",9988
CHIEF HOUSING INSPECTOR,6274
CHIEF INVESTMENT OFFICER,1119
CHIEF NURSERY SPECIALIST,3430
"CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",140
"CHIEF OF FACILITIES, SFUSD",9987
CHIEF OF POLICE,390
"CHIEF OF POLICY AND PLANNING, SFUSD",9991
"CHIEF OF PUBLIC ENGAGEMENT, SFUSD",9992
"CHIEF OF STAFF, SFUSD",9999
"CHIEF OPERATING OFFICER, PUBLIC TRANSPORTATION DEPT.",9185
"CHIEF OPERATING OFFICER, SFUSD",9990
CHIEF PAYROLL AND PERSONNEL CLERK,1226
CHIEF PLUMBING INSPECTOR,6244
CHIEF PREPARATOR,3525
"CHIEF PROBATION OFFICER, JUVENILE COURT",8418
"CHIEF PROBATION OFFICER, JUVENILE COURT (SFERS)",8586
CHIEF STATIONARY ENGINEER,7205
"CHIEF STATIONARY ENGINEER, SEWAGE PLANT",7252
"CHIEF STATIONARY ENGINEER, WATER TREATMENT PLANT",7245
CHIEF SURVEYOR,5216
CHIEF TELEPHONE OPERATOR,1710
CHIEF VICTIM/WITNESS INVESTIGATOR,8137
CHIEF WATER SERVICE INSPECTOR,7204
CHILD CARE SPECIALIST,2919
CHILD SUPPORT OFFICER I,8157
CHILD SUPPORT OFFICER II,8158
CHILD SUPPORT OFFICER III,8159
CHILDRENS CENTER ASSISTANT HOUSEPARENT,2672
CHILDRENS CENTER HOUSEPARENT,2674
CITIZENS COMPLAINT OFFICER,2975
CITY ATTORNEY,8197
CITY PLANNING INTERN,5276
CITY SHOPS ASSISTANT SUPERINTENDENT,7277
CLAIMS ADJUSTER,9157
CLAIMS INVESTIGATOR,9155
"CLAIMS INVESTIGATOR, CITY ATTORNEYS OFFICE",8151
CLAIMS PROCESS CLERK,1474
CLERK,1404
CLERK TYPIST,1424
CLINICAL NURSE SPECIALIST,2323
CLINICAL PHARMACIST,2454
CLINICAL PSYCHOLOGIST,2574
COLLECTION SUPERVISOR,4366
COLLECTIONS OFFICER,4306
COLLEGE AIDE,3591
COMMANDER (POLICE DEPARTMENT),488
COMMANDER II,489
COMMANDER III,490
COMMERCIAL DIVISION ASSISTANT SUPERVISOR,4310
COMMUNICATION LINE SUPERVISOR I,7257
COMMUNICATIONS DISPATCHER I,1704
COMMUNICATIONS DISPATCHER II,1705
COMMUNICATIONS LINE WORKER SUPERVISOR II,7273
COMMUNICATIONS SYSTEMS TECHNICIAN,7362
COMMUNITY DEVELOPMENT ASSISTANT,9770
COMMUNITY DEVELOPMENT SPECIALIST,9772
COMMUNITY POLICE SERVICES AIDE,9209
COMMUNITY POLICE SERVICES AIDE SUPERVISOR,8217
"CONFIDENTIAL CHIEF ATTORNEY II, (CIVIL & CRIMINAL)",AB44
CONFIDENTIAL SECRETARY AND EXECUTIVE ASSISTANT TO PUBLIC DEFENDER,1512
CONFIDENTIAL SECRETARY TO CITY ATTORNEY,1522
CONFIDENTIAL SECRETARY TO DISTRICT ATTORNEY,1520
"CONFIDENTIAL SECRETARY TO THE SUPERINTENDENT, SF JR COLLEGE DIST",1516
CONFIDENTIAL SECRETARY/EXECUTIVE ASSISTANT TO SCHOOL SUPERINTENDENT,1514
CONSERVATORSHIP/CASE MANAGEMENT SUPERVISOR,2933
CONSTRUCTION INSPECTOR,6318
CONTRACT COMPLIANCE OFFICER I,2992
CONTRACT COMPLIANCE OFFICER II,2978
CONTROLLER,1682
COOK,2654
COOK MANAGER SECONDARY SCHOOL,2634
COORD OF COMMUNITY SERVICE,H018
COORDINATOR OF CITIZEN INVOLVEMENT,5408
"COORDINATOR, HUMAN RIGHTS COMMISSION",2991
COUNSELOR II,8318
COUNSELOR II (SFERS),8566
"COUNSELOR, JUVENILE HALL",8320
"COUNSELOR, JUVENILE HALL (SFERS)",8562
"COUNSELOR, LOG CABIN RANCH",8321
"COUNSELOR, LOG CABIN RANCH (SFERS)",8564
COURT ALTERNATIVE SPECIALIST I,8446
COURT CLERK,8113
COURT REPORTER,8138
CRAFTS INSTRUCTOR,3260
CRANE MECHANIC SUPERVISOR,9358
CRIME LABORATORY MANAGER,8263
CRIME SCENE INVESTIGATIONS MANAGER,385
CRIME SCENE INVESTIGATIONS MANAGER 2,386
CRIME SCENE INVESTIGATIONS MANAGER 3,387
CRIMINAL JUSTICE SPECIALIST II,8452
CRIMINALIST I,8259
CRIMINALIST II,8260
CRIMINALIST III,8262
CURATOR I,3541
CURATOR II,3542
CURATOR III,3544
CURATOR IV,3546
CUSTODIAL ASSISTANT SUPERVISOR,2716
CUSTODIAL SUPERVISOR,2718
CUSTODIAN,2708
CUSTOMER SERVICE AGENT,1324
CUSTOMER SERVICE AGENT SUPERVISOR,1326
CUSTOMER SERVICE AGENT TRAINEE,1322
CUSTOMER SERVICE CLERK,MA05
CUSTOMER SERVICES DIVISION MANAGER,1118
DENTAL AIDE,2202
DENTAL HYGIENIST,2204
DENTIST,2210
DEPARTMENT HEAD I,961
DEPARTMENT HEAD II,962
DEPARTMENT HEAD III,963
DEPARTMENT HEAD IV,964
DEPARTMENT HEAD V,965
"DEPARTMENT HEAD, SFUSD",996
DEPARTMENTAL PERSONNEL OFFICER,1270
DEPUTY CHIEF,400
DEPUTY CHIEF II,401
DEPUTY CHIEF III,402
"DEPUTY CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",150
"DEPUTY DIRECTOR FOR INVESTMENTS, RETIREMENT SYSTEM",1117
DEPUTY DIRECTOR I,951
"DEPUTY DIRECTOR I, MUNICIPAL TRANSPORTATION AGENCY",9183
DEPUTY DIRECTOR II,952
"DEPUTY DIRECTOR II, MUNICIPAL TRANSPORTATION AGENCY",9187
DEPUTY DIRECTOR III,953
DEPUTY DIRECTOR IV,954
DEPUTY DIRECTOR V,955
"DEPUTY DIRECTOR, RENT ARBITRATION BOARD",1107
"DEPUTY DIRECTOR, SFUSD",995
DEPUTY PROBATION OFFICER,8444
DEPUTY PROBATION OFFICER (SFERS),8530
DEPUTY SEALER OF WEIGHTS AND MEASURES,6222
DEPUTY SHERIFF,8304
DEPUTY SHERIFF (SFERS),8504
DEPUTY SHERIFF I,8302
DEVELOPMENT SERVICES MANAGER (OCII),O535
DEVELOPMENT SPECIALIST (OCII),O615
DIAGNOSTIC IMAGING ASSISTANT,2424
DIAGNOSTIC IMAGING TECHNOLOGIST I,2467
DIAGNOSTIC IMAGING TECHNOLOGIST II,2468
DIAGNOSTIC IMAGING TECHNOLOGIST III,2469
DIAGNOSTIC IMAGING TECHNOLOGIST IV,2470
DIETETIC TECHNICIAN,2622
DIETITIAN,2624
DIRECTOR,1115
"DIRECTOR OF ACTIVITIES, THERAPY AND VOLUNTEER SERVICES",2552
"DIRECTOR OF BUILDINGS AND GROUNDS, SFUSD",5107
"DIRECTOR OF BUSINESS & COMMUNITY DEVELOPMENT, SFUSD",9982
"DIRECTOR OF FACILITIES DESIGN & CONSTRUCTION, SFUSD",5121
"DIRECTOR OF FOOD SERVICES, SAN FRANCISCO UNIFIED SCHOOL DISTRICT",2638
DIRECTOR OF FORENSIC SERVICES,Q063
"DIRECTOR OF LEGISLATIVE AFFAIRS & GOVERNMENTAL RELATIONS, SFUSD",9983
"DIRECTOR OF PLANNING, MUNICIPAL RAILWAY",9189
DIRECTOR OF POLICE PSYCHOLOGY,Q090
DIRECTOR OF PUBLIC SAFETY,8287
"DIRECTOR, EMPLOYEE RELATIONS DIVISION",1283
"DIRECTOR, JUVENILE HALL",8344
"DIRECTOR, JUVENILE HALL (SFERS)",8580
"DIRECTOR, LOG CABIN RANCH",8330
"DIRECTOR, LOG CABIN RANCH (SFERS)",8576
"DIRECTOR, PARKING ENFORCEMENT",8220
"DIRECTOR, PROBATION SERVICES",8416
"DIRECTOR, PROBATION SERVICES (SFERS)",8584
"DIRECTOR, SFUSD",993
DISABILITY ACCESS COORDINATOR,6335
DISEASE CONTROL INVESTIGATOR,2806
DISTRICT ATTORNEY,8198
DISTRICT ATTORNEYS INVESTIGATIVE ASSISTANT,8132
DISTRICT ATTORNEYS INVESTIGATOR,8146
DISTRICT ATTORNEY'S INVESTIGATOR (SFERS),8550
"DIVISION DIRECTOR, ADULT PROBATION",8435
"DIVISION DIRECTOR, ADULT PROBATION (SFERS)",8588
DOCUMENT EXAMINER TECHNICIAN,8109
DRYER MIXER OPERATOR,7424
EDUCATION INTEGRATION SPECIALIST,2977
EDUCATIONAL CERTIFICATION SPECIALIST,C148
"EDUCATIONAL CREDENTIALS & RECRUITMENT SPECIALIST, SFUSD & SFCCD",1486
EDUCATIONAL POLICY ANALYST,1809
ELECTIONS CLERK,1403
ELECTIONS WORKER,1471
ELECTRIC MOTOR REPAIR SUPERVISOR I,7256
ELECTRIC MOTOR REPAIRER,7319
ELECTRICAL ENGINEERING ASSISTANT,5352
ELECTRICAL INSPECTOR,6248
ELECTRICAL LINE HELPER,7432
ELECTRICAL LINE WORKER,7338
ELECTRICAL TRANSIT EQUIPMENT SUPERVISOR,7214
ELECTRICAL TRANSIT MECHANIC SUPERVISOR I,7253
